"Metabolite","Weight","Direction","Rank","Stability"
"16463",0.0199630166124736,"Positive",799,1
"20111",-0.0199515592771278,"Negative",800,0.9
"41830",-0.0199485079425896,"Negative",801,1
"28794",-0.0199458776893958,"Negative",802,1
"82133",0.0199454891655458,"Positive",803,1
"9155",-0.0199127978724119,"Negative",804,1
"87832",0.0199094584394335,"Positive",805,1
"5289",-0.0199088858127167,"Negative",806,1
"82003",0.0198899500880944,"Positive",807,1
"41154",0.0198844031008261,"Positive",808,0.9
"8099",0.0198819791523849,"Positive",809,1
"43215",0.0198688396724261,"Positive",810,1
"45123",-0.0198243631886144,"Negative",811,1
"41242",0.0198154511654173,"Positive",812,1
"39854",0.0198066699805849,"Positive",813,1
"99870",-0.0197880665511135,"Negative",814,0.9
"4877",0.0197673418687344,"Positive",815,1
"64626",-0.0197640935258381,"Negative",816,1
"18404",-0.0197597035827015,"Negative",817,1
"90409",-0.0197061250954291,"Negative",818,0.9
"101119",0.019703727690337,"Positive",819,1
"92263",-0.0196971059330289,"Negative",820,1
"20292",0.0196778253342452,"Positive",821,0.9
"14857",-0.0196673942216569,"Negative",822,1
"14947",-0.0196639434433519,"Negative",823,1
"34132",-0.0196628727020729,"Negative",824,1
"11003",0.0196517639267501,"Positive",825,0.9
"92275",-0.0196151868542056,"Negative",826,0.9
"126405",0.0195877430957391,"Positive",827,1
"25436",-0.0195732928438404,"Negative",828,1
"40719",0.0195700404986062,"Positive",829,1
"44632",0.0195602138668772,"Positive",830,1
"8604",-0.019546067750677,"Negative",831,1
"51942",-0.0195389288029033,"Negative",832,1
"50034",0.0195382094454005,"Positive",833,1
"96671",-0.0195295052717563,"Negative",834,1
"92231",-0.0195173239084532,"Negative",835,0.9
"38358",-0.0195082815509557,"Negative",836,1
"36709",-0.0194856724310512,"Negative",837,1
"21043",0.0194798769827916,"Positive",838,0.9
"38886",-0.0194766385691312,"Negative",839,0.9
"7506",-0.0194631845765971,"Negative",840,1
"7113",-0.0194602151245422,"Negative",841,1
"36695",0.019453805928289,"Positive",842,0.9
"5461",-0.0194453567496626,"Negative",843,1
"101921",-0.0194404865906002,"Negative",844,1
"30199",-0.019439097884849,"Negative",845,1
"7407",0.0194357644499746,"Positive",846,1
"30287",-0.0194068371795458,"Negative",847,1
"92546",0.0193659612455144,"Positive",848,1
"16597",0.0193633140202467,"Positive",849,1
"76796",0.0193602812783493,"Positive",850,1
"10360",-0.0193556114187443,"Negative",851,1
"79673",0.0193517645163459,"Positive",852,0.9
"76579",0.019346167682003,"Positive",853,1
"56279",-0.0193347435142318,"Negative",854,1
"43924",0.0193306870630127,"Positive",855,0.9
"45873",0.0193159056396641,"Positive",856,0.9
"25705",0.0192899212404367,"Positive",857,0.9
"89794",0.0192648182085971,"Positive",858,1
"112707",0.0192643654275353,"Positive",859,1
"46331",0.01925769886515,"Positive",860,1
"25688",0.0192383156233115,"Positive",861,0.9
"85111",0.0191847072000204,"Positive",862,1
"25557",0.0191827394238386,"Positive",863,0.9
"79342",0.0191827394238385,"Positive",864,0.9
"93386",0.019172073922484,"Positive",865,1
"26250",-0.0191684322877084,"Negative",866,1
"68750",0.0191549783820929,"Positive",867,1
"41073",0.0191513901735737,"Positive",868,1
"7622",-0.0191507570167303,"Negative",869,1
"32271",-0.0191320170014148,"Negative",870,1
"80497",-0.019119858826909,"Negative",871,1
"68992",0.0191069263927816,"Positive",872,1
"30816",-0.0190987739203109,"Negative",873,1
"8061",-0.0190974795980107,"Negative",874,1
"132616",0.0190900482800472,"Positive",875,1
"23744",-0.0190873406838032,"Negative",876,1
"97489",-0.0190856925875207,"Negative",877,1
"31944",-0.0190849211956634,"Negative",878,1
"37249",-0.0190619121457097,"Negative",879,1
"5938",-0.019055416146262,"Negative",880,1
"104977",0.0190281538666585,"Positive",881,1
"36906",-0.0190143450434772,"Negative",882,1
"28146",0.0190019912862256,"Positive",883,0.9
"77422",-0.0189958251098639,"Negative",884,0.9
"51345",-0.0189859441004644,"Negative",885,1
"114027",0.0189686434983572,"Positive",886,1
"38363",-0.0189562438782215,"Negative",887,1
"49567",0.0189547023194373,"Positive",888,0.9
"5450",-0.0189520142902005,"Negative",889,1
"89933",-0.0189448951289217,"Negative",890,1
"45825",-0.0189207297296528,"Negative",891,1
"36732",-0.0189153598037329,"Negative",892,1
"35747",0.0189118735499809,"Positive",893,0.9
"25858",-0.0189061697770883,"Negative",894,1
"93644",-0.0188883048614932,"Negative",895,1
"140123",0.0188877824641898,"Positive",896,1
"87947",0.0188778851807194,"Positive",897,1
"63615",-0.0188641260112038,"Negative",898,0.9
"25158",-0.0188275124882852,"Negative",899,1
"12129",0.0188157077999727,"Positive",900,0.9
"9856",-0.0187788312552292,"Negative",901,1
"29105",0.0187762719990919,"Positive",902,0.9
"18715",0.0187581113490054,"Positive",903,1
"87979",0.0187579249559122,"Positive",904,1
"17151",0.018725093849012,"Positive",905,1
"55649",-0.0187245489907536,"Negative",906,1
"39511",0.0187239119585225,"Positive",907,1
"82256",-0.0187088031571802,"Negative",908,0.9
"91686",-0.0186906281743671,"Negative",909,0.9
"32109",-0.0186816692840868,"Negative",910,1
"89683",-0.0186734439401138,"Negative",911,0.9
"69074",0.0186689035063129,"Positive",912,1
"23405",-0.0186613560358522,"Negative",913,1
"57960",0.018637059432945,"Positive",914,1
"24496",-0.0186321331061162,"Negative",915,1
"49218",0.0186107471731077,"Positive",916,1
"95702",-0.0186033166507364,"Negative",917,0.9
"64105",0.0185789365562138,"Positive",918,1
"12928",0.0185736947706774,"Positive",919,1
"109376",0.0185580002938167,"Positive",920,1
"95175",-0.0185460796737037,"Negative",921,1
"9277",-0.0185317100576259,"Negative",922,0.9
"57566",0.0185197407509074,"Positive",923,1
"49709",-0.0185158882545944,"Negative",924,1
"96617",0.0185095694118491,"Positive",925,0.9
"16705",-0.0184925809184596,"Negative",926,1
"20833",0.0184808102700816,"Positive",927,1
"53393",0.0184756286303719,"Positive",928,1
"8123",-0.0184675259977323,"Negative",929,1
"4790",-0.0184657336807316,"Negative",930,1
"54178",-0.0184410792544596,"Negative",931,0.9
"80055",0.018438310570684,"Positive",932,1
"25413",0.0184172294529888,"Positive",933,1
"27028",0.0184102317917344,"Positive",934,1
"68950",0.0183896849536951,"Positive",935,1
"22728",-0.0183671076431735,"Negative",936,1
"51273",0.018361477580567,"Positive",937,1
"86654",-0.0183201369382463,"Negative",938,1
"7251",-0.0183175858789077,"Negative",939,1
"45701",0.0183098979192782,"Positive",940,1
"80107",0.0182943708292643,"Positive",941,1
"6508",-0.0182890670415229,"Negative",942,1
"33280",-0.0182711388551159,"Negative",943,1
"34844",-0.0182666853795322,"Negative",944,0.9
"73406",-0.0182012099553033,"Negative",945,0.9
"22714",-0.0181860870414839,"Negative",946,1
"44512",-0.0181733398967542,"Negative",947,1
"10826",0.0181711177216539,"Positive",948,1
"33286",-0.0181579333054997,"Negative",949,1
"50429",-0.0181396456792276,"Negative",950,0.9
"25384",0.0181328086446571,"Positive",951,0.9
"23874",-0.018069563115255,"Negative",952,1
"97423",-0.0180583639472041,"Negative",953,0.9
"32687",-0.0180455607413226,"Negative",954,1
"98581",0.0180352357029797,"Positive",955,1
"101874",-0.017977954041305,"Negative",956,1
"68821",0.0179585909660933,"Positive",957,1
"81535",0.0179383280891848,"Positive",958,0.9
"6962",0.0179375485838467,"Positive",959,1
"97016",-0.0179276012648541,"Negative",960,0.9
"14937",-0.0179243286277815,"Negative",961,1
"4117",-0.0179211565742935,"Negative",962,1
"51628",-0.0179134224120092,"Negative",963,1
"31492",-0.017905383105883,"Negative",964,1
"38554",-0.0178934349073316,"Negative",965,1
"68947",0.0178792134966118,"Positive",966,1
"5045",-0.0178747863813304,"Negative",967,0.9
"14287",0.0178736143940435,"Positive",968,1
"92234",0.0178735526450706,"Positive",969,1
"29972",-0.0178660619190667,"Negative",970,1
"96245",0.0178604150108734,"Positive",971,1
"50582",-0.0178521971567684,"Negative",972,1
"61947",0.0178419492267729,"Positive",973,1
"55106",-0.0178037321933947,"Negative",974,1
"69007",0.0177989468679434,"Positive",975,1
"41124",0.0177985227936643,"Positive",976,0.9
"69812",0.0177840674263063,"Positive",977,1
"17733",-0.0177694724247232,"Negative",978,1
"62656",-0.0177662865729224,"Negative",979,1
"44663",-0.0177458600863971,"Negative",980,1
"40503",0.0177073754134829,"Positive",981,1
"91763",-0.017704253704112,"Negative",982,0.9
"83463",0.0177035224125069,"Positive",983,1
"56783",-0.0177002402384464,"Negative",984,1
"138857",0.0176982074992104,"Positive",985,0.9
"18093",0.0176860563611958,"Positive",986,0.9
"102429",0.0176837770793269,"Positive",987,1
"4905",-0.0176652831165473,"Negative",988,1
"84927",0.0176583595940953,"Positive",989,1
"89247",0.0176466210137777,"Positive",990,1
"88981",-0.0176289602029496,"Negative",991,0.9
"84012",0.0176178766215291,"Positive",992,1
"8316",-0.0176014826008644,"Negative",993,1
"40848",0.0175805186438754,"Positive",994,0.9
"32000",-0.0175595462190197,"Negative",995,1
"90665",0.0175469155073603,"Positive",996,1
"41335",0.0175268625051647,"Positive",997,1
"104196",0.0175211442194898,"Positive",998,1
"27964",-0.017517949130873,"Negative",999,1
"88723",0.0174969413200392,"Positive",1000,1
"39585",-0.0174904395216408,"Negative",1001,0.9
"43514",-0.0174613414331523,"Negative",1002,1
"27087",-0.0174520222823179,"Negative",1003,1
"85363",0.0174517216320468,"Positive",1004,1
"102737",0.0174445378077139,"Positive",1005,1
"62614",-0.017441808612988,"Negative",1006,1
"84913",-0.017428705434096,"Negative",1007,0.9
"5941",-0.0174280172138363,"Negative",1008,0.9
"42728",0.0174248351668158,"Positive",1009,1
"43628",-0.0173879836253232,"Negative",1010,1
"13132",-0.0173607564086762,"Negative",1011,1
"8398",0.0173528795386755,"Positive",1012,1
"57679",0.0173053550306871,"Positive",1013,1
"85726",0.0172748825369678,"Positive",1014,1
"26895",0.0172676188639652,"Positive",1015,0.8
"102522",0.0172669651881376,"Positive",1016,0.9
"44171",0.0172430902155179,"Positive",1017,0.9
"57006",0.0172370831384142,"Positive",1018,1
"62550",-0.0172347356078553,"Negative",1019,0.9
"68797",0.0172135429770592,"Positive",1020,1
"140426",0.0172127644748192,"Positive",1021,1
"84354",0.0172082170690395,"Positive",1022,1
"12426",0.0172073733593055,"Positive",1023,1
"105581",0.0172059159253537,"Positive",1024,1
"56661",-0.0172006595240473,"Negative",1025,1
"49630",-0.0171987911510897,"Negative",1026,1
"71391",-0.0171732968136474,"Negative",1027,1
"93898",0.0171466215150296,"Positive",1028,1
"85524",0.0171414201608522,"Positive",1029,0.9
"108391",0.0171400567001013,"Positive",1030,1
"61621",-0.0171279486501191,"Negative",1031,1
"78888",-0.0170898193785746,"Negative",1032,1
"94000",-0.0170582625251123,"Negative",1033,0.9
"49425",-0.0170401564512131,"Negative",1034,1
"8390",-0.0170398649925193,"Negative",1035,1
"8656",-0.0170331219786981,"Negative",1036,1
"130718",0.017023580866758,"Positive",1037,1
"50731",-0.0170015201491338,"Negative",1038,1
"15384",-0.0169676927097037,"Negative",1039,1
"86186",0.0169660932378374,"Positive",1040,1
"15630",0.0169644147536731,"Positive",1041,0.9
"73200",0.0169641108448402,"Positive",1042,1
"93358",-0.0169505996545826,"Negative",1043,1
"40529",0.0169483316738652,"Positive",1044,1
"54695",0.0169460378527706,"Positive",1045,1
"72741",-0.0169312642800058,"Negative",1046,1
"33484",-0.0169049893873126,"Negative",1047,1
"95049",-0.0168994363861385,"Negative",1048,0.9
"34717",-0.0168885304831104,"Negative",1049,1
"35400",-0.0168866891710817,"Negative",1050,1
"37605",-0.01688349076001,"Negative",1051,1
"73255",-0.0168652735951288,"Negative",1052,0.9
"22233",-0.0168224897363187,"Negative",1053,1
"35753",-0.0168172907138702,"Negative",1054,0.9
"109168",0.0167973617127086,"Positive",1055,1
"61256",-0.0167698005378557,"Negative",1056,1
"64951",-0.0167400251443959,"Negative",1057,1
"5520",-0.0167392099548644,"Negative",1058,1
"63131",-0.0167135262389776,"Negative",1059,0.9
"82038",-0.0167012068864352,"Negative",1060,0.9
"51070",-0.0166975755408176,"Negative",1061,1
"11245",0.0166887597808103,"Positive",1062,1
"11781",0.0166813777602173,"Positive",1063,1
"18828",0.0166733763786046,"Positive",1064,0.9
"25318",0.0166702536593972,"Positive",1065,1
"27103",-0.0166690140389914,"Negative",1066,0.9
"49039",-0.0166686321605956,"Negative",1067,0.9
"53148",-0.016663277380724,"Negative",1068,1
"26306",-0.0166396960835522,"Negative",1069,1
"113420",0.016639545852659,"Positive",1070,1
"31158",0.0166246996993852,"Positive",1071,1
"4879",-0.0165832541588118,"Negative",1072,1
"64481",-0.016572197560588,"Negative",1073,1
"140497",0.016565226457011,"Positive",1074,1
"34675",-0.0165485413068776,"Negative",1075,1
"139574",0.01654022940796,"Positive",1076,1
"31251",-0.0165318308090901,"Negative",1077,1
"23498",-0.0165179293914526,"Negative",1078,1
"20006",0.016514927714561,"Positive",1079,1
"83095",0.0164758635972421,"Positive",1080,0.9
"47316",0.0164533645203039,"Positive",1081,0.9
"17097",0.0164226425526371,"Positive",1082,1
"101293",-0.0164120001931718,"Negative",1083,0.9
"68942",0.0164031486393813,"Positive",1084,1
"33733",-0.0163996542551657,"Negative",1085,1
"19829",0.0163835798054787,"Positive",1086,1
"27052",-0.0163656346200657,"Negative",1087,1
"68930",0.0163630877245636,"Positive",1088,1
"22989",-0.0163621303275073,"Negative",1089,1
"35996",-0.016348833608062,"Negative",1090,1
"25450",-0.0163476894576489,"Negative",1091,1
"52667",-0.0163401006554322,"Negative",1092,1
"5693",0.0163316774778394,"Positive",1093,1
