Metabolite_physical,Weight_physical,Direction_physical,Rank_physical,Stability_physical,AbsWeight_physical
68379,0.037247054,Positive,108,1,0.037247054
92193,0.037130621,Positive,109,1,0.037130621
9719,-0.037107577,Negative,110,1,0.037107577
27206,-0.037093836,Negative,111,1,0.037093836
85526,0.036915993,Positive,112,1,0.036915993
71530,0.036847776,Positive,113,1,0.036847776
137300,-0.036814621,Negative,114,1,0.036814621
5897,-0.036631005,Negative,115,1,0.036631005
23716,-0.036487443,Negative,116,1,0.036487443
71446,0.036486574,Positive,117,1,0.036486574
80546,0.036469354,Positive,118,1,0.036469354
49797,-0.036446347,Negative,119,1,0.036446347
93083,0.036416447,Positive,120,1,0.036416447
22672,-0.036414231,Negative,121,1,0.036414231
136358,0.036396387,Positive,122,1,0.036396387
10698,-0.036377623,Negative,123,1,0.036377623
92223,0.036308955,Positive,124,1,0.036308955
65404,-0.036287179,Negative,125,1,0.036287179
90944,0.036274224,Positive,126,1,0.036274224
59657,-0.036271646,Negative,127,1,0.036271646
40740,0.03625047,Positive,128,1,0.03625047
32253,-0.036211259,Negative,129,1,0.036211259
9526,-0.036139204,Negative,130,1,0.036139204
86635,0.036106516,Positive,131,1,0.036106516
89927,0.036103527,Positive,132,1,0.036103527
71570,0.036100418,Positive,133,1,0.036100418
87633,0.03608237,Positive,134,1,0.03608237
26806,-0.036082264,Negative,135,1,0.036082264
79771,0.036015702,Positive,136,1,0.036015702
31053,-0.035996805,Negative,137,1,0.035996805
15482,-0.03597191,Negative,138,1,0.03597191
82517,0.035931981,Positive,139,1,0.035931981
68833,0.035922173,Positive,140,1,0.035922173
89772,0.035786826,Positive,141,1,0.035786826
87606,0.035782141,Positive,142,1,0.035782141
69033,0.035701105,Positive,143,1,0.035701105
68797,0.035640906,Positive,144,1,0.035640906
83180,0.035481348,Positive,145,1,0.035481348
69232,-0.035434651,Negative,146,1,0.035434651
84417,0.035411606,Positive,147,1,0.035411606
71438,0.035323239,Positive,148,1,0.035323239
32474,-0.035299227,Negative,149,1,0.035299227
10626,-0.035291357,Negative,150,1,0.035291357
45589,0.035267367,Positive,151,1,0.035267367
18768,-0.035240297,Negative,152,1,0.035240297
69023,0.035048748,Positive,153,1,0.035048748
22735,-0.03499896,Negative,154,1,0.03499896
82645,0.034994392,Positive,155,1,0.034994392
27102,-0.034987218,Negative,156,1,0.034987218
68809,0.034928364,Positive,157,1,0.034928364
78393,0.03491402,Positive,158,1,0.03491402
24574,0.034899594,Positive,159,1,0.034899594
78004,-0.034859884,Negative,160,1,0.034859884
104087,0.034778529,Positive,161,1,0.034778529
